"entity_id","unique_id","original_name","name","disabled_by","hidden_by","platform"
"sensor.energyhub_autopilot_status","energyhub_autopilot_status","Autopilot Status",,,,"mqtt"
"sensor.energyhub_battery_health","energyhub_battery_health","Battery Health",,,,"mqtt"
"sensor.energyhub_battery_health_reason","energyhub_battery_health_reason","Battery Health Reason",,,,"mqtt"
"sensor.energyhub_charger_source_priority","energyhub_charger_source_priority","Charger Source Priority",,,,"mqtt"
"sensor.energyhub_communication_status","energyhub_communication_status","Communication Status",,,,"mqtt"
"sensor.energyhub_daily_grid_availability","energyhub_daily_grid_availability","Daily Grid Availability",,,,"mqtt"
"sensor.energyhub_daily_grid_import_estimated","energyhub_daily_grid_import_estimated","Grid Import Today Estimated",,,,"mqtt"
"sensor.energyhub_daily_grid_import_estimated_2","energyhub_daily_grid_import","Daily Grid Import Estimated",,,,"mqtt"
"sensor.energyhub_daily_house_consumption","energyhub_daily_house_consumption","Daily House Consumption",,,,"mqtt"
"sensor.energyhub_daily_solar_forecast","energyhub_daily_solar_forecast","Daily Solar Forecast",,,,"mqtt"
"sensor.energyhub_daily_solar_surplus_estimated","energyhub_daily_solar_surplus_estimated","Daily Solar Surplus Estimated",,,,"mqtt"
"sensor.energyhub_grid_availability_24h","energyhub_grid_availability_percent_24h","Grid Availability 24h",,,,"mqtt"
"sensor.energyhub_grid_available_24h","energyhub_grid_available_hours_24h","Grid Available 24h",,,,"mqtt"
"sensor.energyhub_grid_available_48h","energyhub_grid_available_hours_48h","Grid Available 48h",,,,"mqtt"
"sensor.energyhub_grid_confidence","energyhub_grid_confidence_level","Grid Confidence",,,,"mqtt"
"sensor.energyhub_grid_import_power_estimated","energyhub_grid_import_power_estimated","Grid-Supplied House Power Estimated",,,,"mqtt"
"sensor.energyhub_grid_import_yesterday_estimated","energyhub_grid_import_yesterday_estimated","Grid Import Yesterday Estimated",,,,"mqtt"
"sensor.energyhub_grid_outage_24h","energyhub_grid_outage_hours_24h","Grid Outage 24h",,,,"mqtt"
"sensor.energyhub_house_load_unchanged","energyhub_house_load_unchanged_minutes","House Load Unchanged",,,,"mqtt"
"sensor.energyhub_hybrid_battery_refill_required","energyhub_hybrid_battery_refill_required","Hybrid Battery Refill Required",,,,"mqtt"
"sensor.energyhub_hybrid_decision","energyhub_hybrid_decision","Hybrid Decision",,,,"mqtt"
"sensor.energyhub_hybrid_decision_reason","energyhub_hybrid_decision_reason","Hybrid Decision Reason",,,,"mqtt"
"sensor.energyhub_hybrid_evaluated_consumption","energyhub_hybrid_evaluated_consumption","Hybrid Evaluated Consumption",,,,"mqtt"
"sensor.energyhub_hybrid_evaluated_forecast","energyhub_hybrid_evaluated_forecast","Hybrid Evaluated Forecast",,,,"mqtt"
"sensor.energyhub_hybrid_evaluated_soc","energyhub_hybrid_evaluated_soc","Hybrid Evaluated SOC",,,,"mqtt"
"sensor.energyhub_hybrid_total_energy_required","energyhub_hybrid_total_energy_required","Hybrid Total Energy Required",,,,"mqtt"
"sensor.energyhub_inverter_health","energyhub_inverter_health","Inverter Health",,,,"mqtt"
"sensor.energyhub_inverter_health_reason","energyhub_inverter_health_reason","Inverter Health Reason",,,,"mqtt"
"sensor.energyhub_inverter_warning_raw","energyhub_inverter_warning_raw","Inverter Warning Raw",,,,"mqtt"
"sensor.energyhub_operating_mode","energyhub_operating_mode","Operating Mode",,,,"mqtt"
"sensor.energyhub_operating_mode_reason","energyhub_operating_mode_reason","Operating Mode Reason",,,,"mqtt"
"sensor.energyhub_output_source_priority","energyhub_output_source_priority","Output Source Priority",,,,"mqtt"
"sensor.energyhub_panic_decision","energyhub_panic_decision","Panic Decision",,,,"mqtt"
"sensor.energyhub_panic_decision_reason","energyhub_panic_decision_reason","Panic Decision Reason",,,,"mqtt"
"sensor.energyhub_system_health","energyhub_system_health","System Health",,,,"mqtt"
"sensor.energyhub_system_health_reason","energyhub_system_health_reason","System Health Reason",,,,"mqtt"
"sensor.energyhub_telemetry_freshness","energyhub_telemetry_freshness","Telemetry Freshness",,,,"mqtt"
"sensor.energyhub_telemetry_freshness_reason","energyhub_telemetry_freshness_reason","Telemetry Freshness Reason",,,,"mqtt"
"sensor.powmr_10_2m_apparent_power","powmr_10_2m_ac_output_apparent_power","Apparent Power",,,,"mqtt"
"sensor.powmr_10_2m_battery_charging_current","powmr_10_2m_battery_charging_current","Battery Charging Current",,,,"mqtt"
"sensor.powmr_10_2m_battery_discharge_current","powmr_10_2m_battery_discharge_current","Battery Discharge Current",,,,"mqtt"
"sensor.powmr_10_2m_battery_soc","powmr_10_2m_battery_capacity","Battery SOC",,,,"mqtt"
"sensor.powmr_10_2m_battery_voltage","powmr_10_2m_battery_voltage","Battery Voltage",,,,"mqtt"
"sensor.powmr_10_2m_battery_voltage_from_scc","powmr_10_2m_battery_voltage_from_scc","Battery Voltage From SCC",,,,"mqtt"
"sensor.powmr_10_2m_bus_voltage","powmr_10_2m_bus_voltage","Bus Voltage",,,,"mqtt"
"sensor.powmr_10_2m_grid_frequency","powmr_10_2m_ac_input_frequency","Grid Frequency",,,,"mqtt"
"sensor.powmr_10_2m_grid_voltage","powmr_10_2m_ac_input_voltage","Grid Voltage",,,,"mqtt"
"sensor.powmr_10_2m_load","powmr_10_2m_ac_output_load","Load",,,,"mqtt"
"sensor.powmr_10_2m_output_frequency","powmr_10_2m_ac_output_frequency","Output Frequency",,,,"mqtt"
"sensor.powmr_10_2m_output_power","powmr_10_2m_ac_output_active_power","Output Power",,,,"mqtt"
"sensor.powmr_10_2m_output_voltage","powmr_10_2m_ac_output_voltage","Output Voltage",,,,"mqtt"
"sensor.powmr_10_2m_pv1_current","powmr_10_2m_pv1_input_current","PV1 Current",,,,"mqtt"
"sensor.powmr_10_2m_pv1_power","powmr_10_2m_pv1_charging_power","PV1 Power",,,,"mqtt"
"sensor.powmr_10_2m_pv1_voltage","powmr_10_2m_pv1_input_voltage","PV1 Voltage",,,,"mqtt"
"sensor.powmr_10_2m_temperature","powmr_10_2m_inverter_heat_sink_temperature","Temperature",,,,"mqtt"
